,name,track_id,artists,album_name,date_added,images,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Beach Baby,7oRNU7Tmek0nm2lqyDojoG,['Bon Iver'],Blood Bank,2021-10-13T15:19:25Z,"['https://i.scdn.co/image/ab67616d0000b273a069fb06a202435c01137a88', 'https://i.scdn.co/image/ab67616d00001e02a069fb06a202435c01137a88', 'https://i.scdn.co/image/ab67616d00004851a069fb06a202435c01137a88']",7oRNU7Tmek0nm2lqyDojoG,0.668,0.081,0,-17.282,1,0.0366,0.983,0.42,0.114,0.0925,114.358,160093,3
1,Beach Baby,7oRNU7Tmek0nm2lqyDojoG,['Bon Iver'],Blood Bank,2021-10-13T15:19:25Z,"['https://i.scdn.co/image/ab67616d0000b273a069fb06a202435c01137a88', 'https://i.scdn.co/image/ab67616d00001e02a069fb06a202435c01137a88', 'https://i.scdn.co/image/ab67616d00004851a069fb06a202435c01137a88']",7oRNU7Tmek0nm2lqyDojoG,0.668,0.081,0,-17.282,1,0.0366,0.983,0.42,0.114,0.0925,114.358,160093,3
2,Beach Baby,7oRNU7Tmek0nm2lqyDojoG,['Bon Iver'],Blood Bank,2021-10-13T15:19:25Z,"['https://i.scdn.co/image/ab67616d0000b273a069fb06a202435c01137a88', 'https://i.scdn.co/image/ab67616d00001e02a069fb06a202435c01137a88', 'https://i.scdn.co/image/ab67616d00004851a069fb06a202435c01137a88']",7oRNU7Tmek0nm2lqyDojoG,0.668,0.081,0,-17.282,1,0.0366,0.983,0.42,0.114,0.0925,114.358,160093,3
3,Free,4b57xU7rviFrRgilxMjDJb,['Sylvan Esso'],Free Love,2021-10-13T15:20:15Z,"['https://i.scdn.co/image/ab67616d0000b273bffb48cb7afb996ecefdcfba', 'https://i.scdn.co/image/ab67616d00001e02bffb48cb7afb996ecefdcfba', 'https://i.scdn.co/image/ab67616d00004851bffb48cb7afb996ecefdcfba']",4b57xU7rviFrRgilxMjDJb,0.525,0.136,9,-17.063,1,0.251,0.97,0.000774,0.375,0.41,150.168,156240,4
4,Free,4b57xU7rviFrRgilxMjDJb,['Sylvan Esso'],Free Love,2021-10-13T15:20:15Z,"['https://i.scdn.co/image/ab67616d0000b273bffb48cb7afb996ecefdcfba', 'https://i.scdn.co/image/ab67616d00001e02bffb48cb7afb996ecefdcfba', 'https://i.scdn.co/image/ab67616d00004851bffb48cb7afb996ecefdcfba']",4b57xU7rviFrRgilxMjDJb,0.525,0.136,9,-17.063,1,0.251,0.97,0.000774,0.375,0.41,150.168,156240,4
5,Us and Them,1TKTiKp3zbNgrBH2IwSwIx,['Pink Floyd'],The Dark Side of the Moon,2021-10-13T15:20:56Z,"['https://i.scdn.co/image/ab67616d0000b273ea7caaff71dea1051d49b2fe', 'https://i.scdn.co/image/ab67616d00001e02ea7caaff71dea1051d49b2fe', 'https://i.scdn.co/image/ab67616d00004851ea7caaff71dea1051d49b2fe']",1TKTiKp3zbNgrBH2IwSwIx,0.357,0.302,2,-14.526,1,0.0303,0.862,0.559,0.634,0.135,72.518,469224,4
6,Us and Them,1TKTiKp3zbNgrBH2IwSwIx,['Pink Floyd'],The Dark Side of the Moon,2021-10-13T15:20:56Z,"['https://i.scdn.co/image/ab67616d0000b273ea7caaff71dea1051d49b2fe', 'https://i.scdn.co/image/ab67616d00001e02ea7caaff71dea1051d49b2fe', 'https://i.scdn.co/image/ab67616d00004851ea7caaff71dea1051d49b2fe']",1TKTiKp3zbNgrBH2IwSwIx,0.357,0.302,2,-14.526,1,0.0303,0.862,0.559,0.634,0.135,72.518,469224,4
7,Us and Them,1TKTiKp3zbNgrBH2IwSwIx,['Pink Floyd'],The Dark Side of the Moon,2021-10-13T15:20:56Z,"['https://i.scdn.co/image/ab67616d0000b273ea7caaff71dea1051d49b2fe', 'https://i.scdn.co/image/ab67616d00001e02ea7caaff71dea1051d49b2fe', 'https://i.scdn.co/image/ab67616d00004851ea7caaff71dea1051d49b2fe']",1TKTiKp3zbNgrBH2IwSwIx,0.357,0.302,2,-14.526,1,0.0303,0.862,0.559,0.634,0.135,72.518,469224,4
8,Lotus Blossom,33p7jMh4ThQdZ3fe6scpfI,['Michael Franks'],One Bad Habit,2021-10-13T15:21:56Z,"['https://i.scdn.co/image/ab67616d0000b273f4c0c945b59f8b88f7c0ab8a', 'https://i.scdn.co/image/ab67616d00001e02f4c0c945b59f8b88f7c0ab8a', 'https://i.scdn.co/image/ab67616d00004851f4c0c945b59f8b88f7c0ab8a']",33p7jMh4ThQdZ3fe6scpfI,0.721,0.0462,1,-25.433,0,0.0365,0.877,0.272,0.0787,0.183,103.8,259960,4
9,Lotus Blossom,33p7jMh4ThQdZ3fe6scpfI,['Michael Franks'],One Bad Habit,2021-10-13T15:21:56Z,"['https://i.scdn.co/image/ab67616d0000b273f4c0c945b59f8b88f7c0ab8a', 'https://i.scdn.co/image/ab67616d00001e02f4c0c945b59f8b88f7c0ab8a', 'https://i.scdn.co/image/ab67616d00004851f4c0c945b59f8b88f7c0ab8a']",33p7jMh4ThQdZ3fe6scpfI,0.721,0.0462,1,-25.433,0,0.0365,0.877,0.272,0.0787,0.183,103.8,259960,4
